Country_Region,Province_State,lat,lon,continent,population,area,density
Afghanistan,,33,65,Asia,38041754,652230,58.33
Albania,,41.1533,20.1683,Europe,2880917,28748,100.21
Algeria,,28.0339,1.6596,Africa,43053054,2381741,18.08
Andorra,,42.5063,1.5218,Europe,77142,468,164.83
Angola,,-11.2027,17.8739,Africa,31825295,1246700,25.53
Antigua and Barbuda,,17.0608,-61.7964,Americas,97118,442,219.72
Argentina,,-38.4161,-63.6167,Americas,44780677,2780400,16.11
Armenia,,40.0691,45.0382,Asia,2957731,29743,99.44
Australia,Australian Capital Territory,-35.4735,149.0124,Oceania,426709,2358,180.96
Australia,New South Wales,-33.8688,151.2093,Oceania,8089526,809952,9.99
Australia,Northern Territory,-12.4634,130.8456,Oceania,245869,1419630,0.17
Australia,Queensland,-28.0167,153.4,Oceania,5095100,1851736,2.75
Australia,South Australia,-34.9285,138.6007,Oceania,1751693,1044353,1.68
Australia,Tasmania,-41.4545,145.9707,Oceania,534281,90758,5.89
Australia,Victoria,-37.8136,144.9631,Oceania,6594804,237657,27.75
Australia,Western Australia,-31.9505,115.8605,Oceania,2621680,2642753,0.99
Austria,,47.5162,14.5501,Europe,8955102,83871,106.77
Azerbaijan,,40.1431,47.5769,Asia,10047718,86600,116.02
Bahamas,,25.0343,-77.3963,Americas,389482,13943,27.93
Bahrain,,26.0275,50.55,Asia,1641172,778,2109.48
Bangladesh,,23.685,90.3563,Asia,163046161,147570,1104.87
Barbados,,13.1939,-59.5432,Americas,287025,430,667.5
Belarus,,53.7098,27.9534,Europe,9452411,207600,45.53
Belgium,,50.8333,4,Europe,11539328,30528,377.99
Belize,,13.1939,-59.5432,Americas,390353,22966,17
Benin,,9.3077,2.3158,Africa,11801151,114763,102.83
Bhutan,,27.5142,90.4336,Asia,763092,38394,19.88
Bolivia,,-16.2902,-63.5887,Americas,11513100,1098581,10.48
Bosnia and Herzegovina,,43.9159,17.6791,Europe,3301000,51209,64.46
Botswana,,-22.3285,24.6849,Africa,2254068,581730,3.87
Brazil,,-14.235,-51.9253,Americas,211049527,8515767,24.78
Brunei,,4.5353,114.7277,Asia,433285,5765,75.16
Bulgaria,,42.7339,25.4858,Europe,7000119,111002,63.06
Burkina Faso,,12.2383,-1.5616,Africa,20321378,274222,74.11
Burma,,21.9162,95.956,Asia,53582855,676578,79.2
