Territory X Date,target,cases,Territory,Date
Afghanistan X 1/22/20,0,0,Afghanistan,1/22/20
Afghanistan X 1/23/20,0,0,Afghanistan,1/23/20
Afghanistan X 1/24/20,0,0,Afghanistan,1/24/20
Afghanistan X 1/25/20,0,0,Afghanistan,1/25/20
Afghanistan X 1/26/20,0,0,Afghanistan,1/26/20
Afghanistan X 1/27/20,0,0,Afghanistan,1/27/20
Afghanistan X 1/28/20,0,0,Afghanistan,1/28/20
Afghanistan X 1/29/20,0,0,Afghanistan,1/29/20
Afghanistan X 1/30/20,0,0,Afghanistan,1/30/20
Afghanistan X 1/31/20,0,0,Afghanistan,1/31/20
Afghanistan X 2/1/20,0,0,Afghanistan,2/1/20
Afghanistan X 2/2/20,0,0,Afghanistan,2/2/20
Afghanistan X 2/3/20,0,0,Afghanistan,2/3/20
Afghanistan X 2/4/20,0,0,Afghanistan,2/4/20
Afghanistan X 2/5/20,0,0,Afghanistan,2/5/20
Afghanistan X 2/6/20,0,0,Afghanistan,2/6/20
Afghanistan X 2/7/20,0,0,Afghanistan,2/7/20
Afghanistan X 2/8/20,0,0,Afghanistan,2/8/20
Afghanistan X 2/9/20,0,0,Afghanistan,2/9/20
Afghanistan X 2/10/20,0,0,Afghanistan,2/10/20
Afghanistan X 2/11/20,0,0,Afghanistan,2/11/20
Afghanistan X 2/12/20,0,0,Afghanistan,2/12/20
Afghanistan X 2/13/20,0,0,Afghanistan,2/13/20
Afghanistan X 2/14/20,0,0,Afghanistan,2/14/20
Afghanistan X 2/15/20,0,0,Afghanistan,2/15/20
Afghanistan X 2/16/20,0,0,Afghanistan,2/16/20
Afghanistan X 2/17/20,0,0,Afghanistan,2/17/20
Afghanistan X 2/18/20,0,0,Afghanistan,2/18/20
Afghanistan X 2/19/20,0,0,Afghanistan,2/19/20
Afghanistan X 2/20/20,0,0,Afghanistan,2/20/20
Afghanistan X 2/21/20,0,0,Afghanistan,2/21/20
Afghanistan X 2/22/20,0,0,Afghanistan,2/22/20
Afghanistan X 2/23/20,0,0,Afghanistan,2/23/20
Afghanistan X 2/24/20,0,1,Afghanistan,2/24/20
Afghanistan X 2/25/20,0,1,Afghanistan,2/25/20
Afghanistan X 2/26/20,0,1,Afghanistan,2/26/20
Afghanistan X 2/27/20,0,1,Afghanistan,2/27/20
Afghanistan X 2/28/20,0,1,Afghanistan,2/28/20
Afghanistan X 2/29/20,0,1,Afghanistan,2/29/20
Afghanistan X 3/1/20,0,1,Afghanistan,3/1/20
Afghanistan X 3/2/20,0,1,Afghanistan,3/2/20
Afghanistan X 3/3/20,0,1,Afghanistan,3/3/20
Afghanistan X 3/4/20,0,1,Afghanistan,3/4/20
Afghanistan X 3/5/20,0,1,Afghanistan,3/5/20
Afghanistan X 3/6/20,0,1,Afghanistan,3/6/20
Afghanistan X 3/7/20,0,1,Afghanistan,3/7/20
Afghanistan X 3/8/20,0,4,Afghanistan,3/8/20
