Word,Pos,Language,split
chetekwa,VERB,ibo,dev
ịma,VERB,ibo,dev
adịrịrị,VERB,ibo,dev
ụkwa,NOUN,ibo,dev
jighị,VERB,ibo,dev
osikapa,NOUN,ibo,dev
àgwà,NOUN,ibo,dev
indomí,NOUN,ibo,dev
spagetì,NOUN,ibo,dev
ọgbaraọhụrụ,NOUN,ibo,dev
gachaa,VERB,ibo,dev
asaghesi,VERB,ibo,dev
ọmụnkwụ,NOUN,ibo,dev
rụnye,VERB,ibo,dev
werekwa,VERB,ibo,dev
ugbele,NOUN,ibo,dev
gbugasịrị,VERB,ibo,dev
manyesie,VERB,ibo,dev
kechisie,VERB,ibo,dev
ọmụ,NOUN,ibo,dev
akpa,NOUN,ibo,dev
àtụ,VERB,ibo,dev
ọfọ,NOUN,ibo,dev
ikenga,NOUN,ibo,dev
ijè',NOUN,ibo,dev
ije',NOUN,ibo,dev
nwèchàra,VERB,ibo,dev
nkwenye,NOUN,ibo,dev
emezị,VERB,ibo,dev
eje,VERB,ibo,dev
jirizie,VERB,ibo,dev
eleghara,VERB,ibo,dev
emebisizị,VERB,ibo,dev
amaghị,VERB,ibo,dev
maba,VERB,ibo,dev
ama,VERB,ibo,dev
akwụsị,VERB,ibo,dev
nkọwa,NOUN,ibo,dev
edemede,NOUN,ibo,dev
nchọpụta,NOUN,ibo,dev
ịrụ,VERB,ibo,dev
emepere,VERB,ibo,dev
ewètere,VERB,ibo,dev
ịkpọchi,VERB,ibo,dev
hapụkwa,VERB,ibo,dev
nwékwàrà,VERB,ibo,dev
iwètara,VERB,ibo,dev
kpuchiere,VERB,ibo,dev
iwetèkwara,VERB,ibo,dev
meghị,VERB,ibo,dev
eézè,NOUN,ibo,dev
na,PRON,ibo,dev
echirịrị,VERB,ibo,dev
okenyè,NOUN,ibo,dev
azarịrị,VERB,ibo,dev
òkù,NOUN,ibo,dev
kpọọ,VERB,ibo,dev
niile,NOUN,ibo,dev
ewute,VERB,ibo,dev
nke,ADV,ibo,dev
ukwuu,ADJ,ibo,dev
sọgodi,VERB,ibo,dev
methuselah,PROPN,ibo,dev
laa,VERB,ibo,dev
ahụzịkwa,VERB,ibo,dev
ewèta,VERB,ibo,dev
oghere,NOUN,ibo,dev
ewètekwa,VERB,ibo,dev
mgbanwè,NOUN,ibo,dev
emetụtakwa,VERB,ibo,dev
amasị,VERB,ibo,dev
