ID,DR,G,ND,WD,other
ID_SJBCSZ,0,0,0,0,0
ID_4UMPJL,0,0,0,0,0
ID_AB4DZF,0,0,0,0,0
ID_H257JS,0,0,0,0,0
ID_JKST46,0,0,0,0,0
ID_5KX2YU,0,0,0,0,0
ID_YMXCDK,0,0,0,0,0
ID_5SJLJ2,0,0,0,0,0
ID_JQ4J7T,0,0,0,0,0
ID_B3HJ3N,0,0,0,0,0
ID_TCGJ5K,0,0,0,0,0
ID_RBDN8E,0,0,0,0,0
ID_G0CPVW,0,0,0,0,0
ID_FQNIJ5,0,0,0,0,0
ID_R86U0A,0,0,0,0,0
ID_L58CY1,0,0,0,0,0
ID_7RANR8,0,0,0,0,0
ID_2EMJLZ,0,0,0,0,0
ID_QH08R0,0,0,0,0,0
ID_1NJ5Z5,0,0,0,0,0
ID_LAKBUQ,0,0,0,0,0
ID_TDXPMK,0,0,0,0,0
ID_3C1UZ3,0,0,0,0,0
ID_JFI0OT,0,0,0,0,0
ID_ZD7ZLQ,0,0,0,0,0
ID_EW4IE1,0,0,0,0,0
ID_F8TG31,0,0,0,0,0
ID_KP0FRS,0,0,0,0,0
ID_SILEIQ,0,0,0,0,0
ID_I0ZUNL,0,0,0,0,0
ID_NKYBRS,0,0,0,0,0
ID_D90CY8,0,0,0,0,0
ID_LMTTHJ,0,0,0,0,0
ID_7BAUHA,0,0,0,0,0
ID_7UF70E,0,0,0,0,0
ID_GLY939,0,0,0,0,0
ID_2Y34JI,0,0,0,0,0
ID_2XQQMQ,0,0,0,0,0
ID_8LD4S8,0,0,0,0,0
ID_GJ8ZVZ,0,0,0,0,0
ID_4NOOU2,0,0,0,0,0
ID_3MVNHD,0,0,0,0,0
ID_XT3TVV,0,0,0,0,0
ID_ZLQD2X,0,0,0,0,0
ID_9JI4L7,0,0,0,0,0
ID_ZZT8R1,0,0,0,0,0
ID_AFFWNO,0,0,0,0,0
ID_NAJQZW,0,0,0,0,0
ID_1LLXNB,0,0,0,0,0
ID_MEJQGW,0,0,0,0,0
ID_ALMT65,0,0,0,0,0
ID_TBH2KS,0,0,0,0,0
ID_ZZLKXI,0,0,0,0,0
ID_LMB7HE,0,0,0,0,0
ID_X4W41J,0,0,0,0,0
ID_PTHR3A,0,0,0,0,0
ID_RT5K0W,0,0,0,0,0
ID_G3NNR3,0,0,0,0,0
ID_6FDIJI,0,0,0,0,0
ID_9I871E,0,0,0,0,0
ID_0L55NT,0,0,0,0,0
ID_VCZ7F0,0,0,0,0,0
ID_SZF2G1,0,0,0,0,0
ID_B71DFS,0,0,0,0,0
ID_NJMF9C,0,0,0,0,0
ID_MD02D7,0,0,0,0,0
ID_Z316LK,0,0,0,0,0
ID_K0GFA9,0,0,0,0,0
ID_4P4YT2,0,0,0,0,0
ID_5U6MYW,0,0,0,0,0
ID_FVB5RT,0,0,0,0,0
ID_UH197M,0,0,0,0,0
ID_8PU9ZX,0,0,0,0,0
ID_EXRTL1,0,0,0,0,0
ID_EX0GV1,0,0,0,0,0
ID_HHGYA1,0,0,0,0,0
ID_52QONV,0,0,0,0,0
ID_EMI2IG,0,0,0,0,0
ID_TE00CW,0,0,0,0,0
ID_ETMLWO,0,0,0,0,0
ID_PLFIKG,0,0,0,0,0
ID_EZP5KK,0,0,0,0,0
ID_62JDJZ,0,0,0,0,0
ID_HYCR4F,0,0,0,0,0
ID_8B6POB,0,0,0,0,0
ID_TPPCR8,0,0,0,0,0
ID_0BDB5C,0,0,0,0,0
ID_RID6IR,0,0,0,0,0
ID_5J92SN,0,0,0,0,0
ID_WGKJYO,0,0,0,0,0
ID_25NCUB,0,0,0,0,0
ID_7A4IPF,0,0,0,0,0
ID_W0TBX8,0,0,0,0,0
ID_VU6BZN,0,0,0,0,0
ID_ISHX7M,0,0,0,0,0
ID_5YUWSH,0,0,0,0,0
ID_HVO9RX,0,0,0,0,0
ID_O8AWP9,0,0,0,0,0
ID_R20S0F,0,0,0,0,0
ID_MFCQHX,0,0,0,0,0
ID_K6925E,0,0,0,0,0
ID_IT5F5K,0,0,0,0,0
ID_9A29QV,0,0,0,0,0
ID_M8B96M,0,0,0,0,0
ID_PWCP99,0,0,0,0,0
ID_ANI93Z,0,0,0,0,0
ID_PZCU2U,0,0,0,0,0
ID_9F8ELN,0,0,0,0,0
ID_L9I3KH,0,0,0,0,0
ID_3P1Y5G,0,0,0,0,0
ID_AQ09NB,0,0,0,0,0
ID_H2Y7DL,0,0,0,0,0
ID_CYFXM4,0,0,0,0,0
ID_6U1POS,0,0,0,0,0
ID_KH260S,0,0,0,0,0
ID_N6JNO6,0,0,0,0,0
ID_2RNTFE,0,0,0,0,0
ID_2HR1YW,0,0,0,0,0
ID_RIQ53T,0,0,0,0,0
ID_CK3AMB,0,0,0,0,0
ID_CPXFJV,0,0,0,0,0
ID_1YNPQA,0,0,0,0,0
ID_B0S549,0,0,0,0,0
ID_HNPIX6,0,0,0,0,0
ID_KR6OL4,0,0,0,0,0
ID_E91TNS,0,0,0,0,0
ID_UN1F05,0,0,0,0,0
ID_Y2BUW0,0,0,0,0,0
ID_KE9IZI,0,0,0,0,0
ID_W76VOH,0,0,0,0,0
ID_WHVGWD,0,0,0,0,0
ID_P2ROJI,0,0,0,0,0
ID_BR062X,0,0,0,0,0
ID_HBSKHX,0,0,0,0,0
ID_F7OF79,0,0,0,0,0
ID_R2WR7F,0,0,0,0,0
ID_UNJ1JO,0,0,0,0,0
ID_11C5R6,0,0,0,0,0
ID_7633TQ,0,0,0,0,0
ID_63GHUP,0,0,0,0,0
ID_W787YF,0,0,0,0,0
ID_DUTC7L,0,0,0,0,0
ID_NRDEO0,0,0,0,0,0
ID_GVVTA5,0,0,0,0,0
ID_F39QKF,0,0,0,0,0
ID_DH5K26,0,0,0,0,0
ID_A47AIH,0,0,0,0,0
ID_1ZJ3HP,0,0,0,0,0
ID_3LUK7J,0,0,0,0,0
ID_VHA5GL,0,0,0,0,0
ID_4DFC4O,0,0,0,0,0
ID_NNO2JV,0,0,0,0,0
ID_ELKLRL,0,0,0,0,0
ID_3QSZHE,0,0,0,0,0
ID_EBI7J3,0,0,0,0,0
ID_Z7G2H5,0,0,0,0,0
ID_IWA9NW,0,0,0,0,0
ID_W1B925,0,0,0,0,0
ID_L0G44L,0,0,0,0,0
ID_T38W4C,0,0,0,0,0
ID_X4M5T6,0,0,0,0,0
ID_JP07DD,0,0,0,0,0
ID_34OZDD,0,0,0,0,0
ID_FJR4YJ,0,0,0,0,0
ID_ISV2UF,0,0,0,0,0
ID_7CYFWU,0,0,0,0,0
ID_KS06E7,0,0,0,0,0
ID_TES23N,0,0,0,0,0
ID_DX9QJY,0,0,0,0,0
ID_47P3UO,0,0,0,0,0
ID_UWGZ3N,0,0,0,0,0
ID_IMH555,0,0,0,0,0
ID_S451CH,0,0,0,0,0
ID_CN9RQ0,0,0,0,0,0
ID_YK2ULX,0,0,0,0,0
ID_OPBSVI,0,0,0,0,0
ID_85IKLH,0,0,0,0,0
ID_P2KJJ4,0,0,0,0,0
ID_XE1QHD,0,0,0,0,0
ID_11UZ1E,0,0,0,0,0
ID_VODCEQ,0,0,0,0,0
ID_PKEAF3,0,0,0,0,0
ID_5259P7,0,0,0,0,0
ID_E4SNZX,0,0,0,0,0
ID_N5TJG1,0,0,0,0,0
ID_919P3H,0,0,0,0,0
ID_UKCY42,0,0,0,0,0
ID_T4QXBO,0,0,0,0,0
ID_YECLVH,0,0,0,0,0
ID_X4AAIN,0,0,0,0,0
ID_4BJBKC,0,0,0,0,0
ID_K9XN0Y,0,0,0,0,0
ID_1P9RJJ,0,0,0,0,0
ID_HIP4OV,0,0,0,0,0
ID_HGEIY0,0,0,0,0,0
ID_KPHMHC,0,0,0,0,0
ID_EXZ9WE,0,0,0,0,0
ID_IHOV5W,0,0,0,0,0
ID_7VQN88,0,0,0,0,0
ID_EFWZU1,0,0,0,0,0
ID_LXP88Y,0,0,0,0,0
ID_WOA153,0,0,0,0,0
ID_D503CS,0,0,0,0,0
ID_PABLZG,0,0,0,0,0
ID_0GGZFM,0,0,0,0,0
ID_M29OTT,0,0,0,0,0
ID_1OUQQN,0,0,0,0,0
ID_6MD7DL,0,0,0,0,0
ID_ZY8TXZ,0,0,0,0,0
ID_TN8QV4,0,0,0,0,0
ID_AJPQPH,0,0,0,0,0
ID_OZGY23,0,0,0,0,0
ID_KKCOHP,0,0,0,0,0
ID_W7X7TG,0,0,0,0,0
ID_KUWQ6S,0,0,0,0,0
ID_KEERT9,0,0,0,0,0
ID_HCOIE0,0,0,0,0,0
ID_LHD9IB,0,0,0,0,0
ID_CR0B1Q,0,0,0,0,0
ID_0Z1O4X,0,0,0,0,0
ID_2J088F,0,0,0,0,0
ID_3GVSJI,0,0,0,0,0
ID_4JXP8V,0,0,0,0,0
ID_UGJM67,0,0,0,0,0
ID_YG0GF9,0,0,0,0,0
ID_OWB1ND,0,0,0,0,0
ID_AWCWS9,0,0,0,0,0
ID_7ON1ZO,0,0,0,0,0
ID_45FS8G,0,0,0,0,0
ID_ORT6B4,0,0,0,0,0
ID_S1NAOJ,0,0,0,0,0
ID_MOEQDW,0,0,0,0,0
ID_M5FFD6,0,0,0,0,0
ID_P25AYL,0,0,0,0,0
ID_BNZ5LM,0,0,0,0,0
ID_DAO07F,0,0,0,0,0
ID_9M5ZVC,0,0,0,0,0
ID_I826AS,0,0,0,0,0
ID_14WMSP,0,0,0,0,0
ID_OBZ57G,0,0,0,0,0
ID_3BL47E,0,0,0,0,0
ID_TSVRRC,0,0,0,0,0
ID_8WZVQI,0,0,0,0,0
ID_NUU31M,0,0,0,0,0
ID_L9N2XU,0,0,0,0,0
ID_0ADFQ0,0,0,0,0,0
ID_0ZHIVT,0,0,0,0,0
ID_R8UTE6,0,0,0,0,0
ID_SDI05J,0,0,0,0,0
ID_88XN43,0,0,0,0,0
ID_6VMV4M,0,0,0,0,0
ID_ZKWU9F,0,0,0,0,0
ID_YVKHW0,0,0,0,0,0
ID_EBKDL6,0,0,0,0,0
ID_GPB40A,0,0,0,0,0
ID_N4EFNL,0,0,0,0,0
ID_GA6OBF,0,0,0,0,0
ID_0AFS2X,0,0,0,0,0
ID_3LVIZS,0,0,0,0,0
ID_NXMQ74,0,0,0,0,0
ID_N4HFUF,0,0,0,0,0
ID_Q38T3R,0,0,0,0,0
ID_2MF5L1,0,0,0,0,0
ID_P1EMTT,0,0,0,0,0
ID_GKOU27,0,0,0,0,0
ID_V3U3SB,0,0,0,0,0
ID_7EP3PM,0,0,0,0,0
ID_EVY6GR,0,0,0,0,0
ID_RZLR60,0,0,0,0,0
ID_ZTRFMA,0,0,0,0,0
ID_KLI80K,0,0,0,0,0
ID_VE4JWF,0,0,0,0,0
ID_69LCKD,0,0,0,0,0
ID_Z3NFYZ,0,0,0,0,0
ID_Z9ZUCN,0,0,0,0,0
ID_V32UKK,0,0,0,0,0
ID_37MZP0,0,0,0,0,0
ID_PTTRA8,0,0,0,0,0
ID_YL69IC,0,0,0,0,0
ID_T0RV1S,0,0,0,0,0
ID_0GOOPU,0,0,0,0,0
ID_AFOLNM,0,0,0,0,0
ID_HGDLZS,0,0,0,0,0
ID_E27INE,0,0,0,0,0
ID_T2DWQR,0,0,0,0,0
ID_8FUUA0,0,0,0,0,0
ID_SBIMKC,0,0,0,0,0
ID_J6KJ88,0,0,0,0,0
ID_BC5X3D,0,0,0,0,0
ID_QKBV34,0,0,0,0,0
ID_ILXPOP,0,0,0,0,0
ID_1M9FNK,0,0,0,0,0
ID_2CA6LR,0,0,0,0,0
ID_31OQWH,0,0,0,0,0
ID_MHKMWH,0,0,0,0,0
ID_TITLT0,0,0,0,0,0
ID_ZVRLNB,0,0,0,0,0
ID_TGN4D1,0,0,0,0,0
ID_OSXVWB,0,0,0,0,0
ID_6JVCFR,0,0,0,0,0
ID_LTLLOL,0,0,0,0,0
ID_ZCZH9K,0,0,0,0,0
ID_T1EA3I,0,0,0,0,0
ID_T9EQLC,0,0,0,0,0
ID_OFDBGM,0,0,0,0,0
ID_081BBZ,0,0,0,0,0
ID_BVBSON,0,0,0,0,0
ID_TX1K5F,0,0,0,0,0
ID_RX3FW8,0,0,0,0,0
ID_N5P3SR,0,0,0,0,0
ID_TP1SPJ,0,0,0,0,0
ID_15UCOG,0,0,0,0,0
ID_JB6S4S,0,0,0,0,0
ID_4I8N8X,0,0,0,0,0
ID_RI3HNN,0,0,0,0,0
ID_1Y27V7,0,0,0,0,0
ID_YA8D94,0,0,0,0,0
ID_VBMMGB,0,0,0,0,0
ID_YOEAHN,0,0,0,0,0
ID_URTBJP,0,0,0,0,0
ID_AO74HA,0,0,0,0,0
ID_SL5HE3,0,0,0,0,0
ID_MBHS1Z,0,0,0,0,0
ID_SVUFN6,0,0,0,0,0
ID_QUFR4S,0,0,0,0,0
ID_T29UQ0,0,0,0,0,0
ID_PBQLYT,0,0,0,0,0
ID_6W1OC4,0,0,0,0,0
ID_R0WPYR,0,0,0,0,0
ID_11X2T6,0,0,0,0,0
ID_MGJNK7,0,0,0,0,0
ID_QXZPJQ,0,0,0,0,0
ID_P58IG8,0,0,0,0,0
ID_BPVLS0,0,0,0,0,0
ID_SX532H,0,0,0,0,0
ID_DHYA79,0,0,0,0,0
ID_FIOJVT,0,0,0,0,0
ID_57KDB8,0,0,0,0,0
ID_GPCDLN,0,0,0,0,0
ID_67H3LU,0,0,0,0,0
ID_03Z0XQ,0,0,0,0,0
ID_88MUB8,0,0,0,0,0
ID_8MW6N4,0,0,0,0,0
ID_W8NXQ4,0,0,0,0,0
ID_9Y62WF,0,0,0,0,0
ID_VGODUR,0,0,0,0,0
ID_Z2JTF9,0,0,0,0,0
ID_9ZXULE,0,0,0,0,0
ID_BCU44K,0,0,0,0,0
ID_DNBNHE,0,0,0,0,0
ID_QBGRG6,0,0,0,0,0
ID_BA7TN7,0,0,0,0,0
ID_GYEJ1K,0,0,0,0,0
ID_QMAOWY,0,0,0,0,0
ID_NY40VN,0,0,0,0,0
ID_9ERYDJ,0,0,0,0,0
ID_XJ4UW0,0,0,0,0,0
ID_V5YK86,0,0,0,0,0
ID_9HBVXV,0,0,0,0,0
ID_QHTSQC,0,0,0,0,0
ID_CYPKH3,0,0,0,0,0
ID_1ENFQP,0,0,0,0,0
ID_B3YWRY,0,0,0,0,0
ID_5B8SHA,0,0,0,0,0
ID_57L7F5,0,0,0,0,0
ID_4NMZJA,0,0,0,0,0
ID_HVAJGJ,0,0,0,0,0
ID_O42QX1,0,0,0,0,0
ID_G7VUPY,0,0,0,0,0
ID_KGY9FF,0,0,0,0,0
ID_F6QHHC,0,0,0,0,0
ID_VWGUZM,0,0,0,0,0
ID_ROEUYI,0,0,0,0,0
ID_HZL3CU,0,0,0,0,0
ID_VPFWCZ,0,0,0,0,0
ID_ELFHDI,0,0,0,0,0
ID_GXQY89,0,0,0,0,0
ID_X28WRS,0,0,0,0,0
ID_TNSM5G,0,0,0,0,0
ID_DQ168L,0,0,0,0,0
ID_TPA4JF,0,0,0,0,0
ID_OQIS2Q,0,0,0,0,0
ID_GUW689,0,0,0,0,0
ID_ZJ4U2V,0,0,0,0,0
ID_U4EDLO,0,0,0,0,0
ID_DR2ZRC,0,0,0,0,0
ID_MJ0HAD,0,0,0,0,0
ID_N1JN8N,0,0,0,0,0
ID_O1V0ER,0,0,0,0,0
ID_VC4CBB,0,0,0,0,0
ID_UVDZWU,0,0,0,0,0
ID_8KWJ0I,0,0,0,0,0
ID_M7EOG4,0,0,0,0,0
ID_NI7RLX,0,0,0,0,0
ID_7J8MO4,0,0,0,0,0
ID_941NHH,0,0,0,0,0
ID_YKFPG4,0,0,0,0,0
ID_YQ57K4,0,0,0,0,0
ID_BMRXZ5,0,0,0,0,0
ID_HN881R,0,0,0,0,0
ID_MAWNEM,0,0,0,0,0
ID_K8RERB,0,0,0,0,0
ID_13YARV,0,0,0,0,0
ID_8Z9KG2,0,0,0,0,0
ID_UUABBX,0,0,0,0,0
ID_GMDOE3,0,0,0,0,0
ID_W6LB5Y,0,0,0,0,0
ID_N127GO,0,0,0,0,0
ID_9QWP2J,0,0,0,0,0
ID_GSH4ZG,0,0,0,0,0
ID_5A6CJA,0,0,0,0,0
ID_OB8C4N,0,0,0,0,0
ID_BP3RVW,0,0,0,0,0
ID_CAV4CM,0,0,0,0,0
ID_B9E839,0,0,0,0,0
ID_16692J,0,0,0,0,0
ID_F7N2TX,0,0,0,0,0
ID_OBYGZU,0,0,0,0,0
ID_JI4YO2,0,0,0,0,0
ID_0SJSVO,0,0,0,0,0
ID_HCHFEY,0,0,0,0,0
ID_34RA3V,0,0,0,0,0
ID_VXEEIU,0,0,0,0,0
ID_DQQLJH,0,0,0,0,0
ID_JZJP19,0,0,0,0,0
ID_YAQHVN,0,0,0,0,0
ID_0TCT3W,0,0,0,0,0
ID_7S7A0U,0,0,0,0,0
ID_L62AM1,0,0,0,0,0
ID_J0YQDR,0,0,0,0,0
ID_GQ3XFF,0,0,0,0,0
ID_AE4HHU,0,0,0,0,0
ID_WFOR0N,0,0,0,0,0
ID_JNQCGP,0,0,0,0,0
ID_O0JVQX,0,0,0,0,0
ID_G6ARRZ,0,0,0,0,0
ID_ZFSQOL,0,0,0,0,0
ID_DWBT96,0,0,0,0,0
ID_CXBVO6,0,0,0,0,0
